,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,32.38,82.88,150.69,225.19,253.62,283.0,273.06,256.38,163.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.75,329.81,481.62,533.0,475.38,414.0,349.88,256.38,196.31,105.38,17.12,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.75,1.06,1.0,1.0,1.19,1.94,2.0,2.19,2.56,0.38,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.62,251.5,285.62,307.69,355.31,402.06,386.44,406.0,466.31,330.75,55.38,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,124.25,208.19,297.81,379.75,458.12,465.69,460.69,569.56,440.88,88.56,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.38,673.94,821.56,899.06,933.75,935.75,904.81,833.44,695.25,491.06,104.31,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.88,91.81,173.06,222.88,265.0,293.44,345.75,387.44,326.94,199.06,32.81,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.38,588.44,765.31,789.69,791.44,712.25,466.06,400.88,301.31,181.94,30.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.94,243.62,432.81,295.81,303.06,394.12,589.81,568.19,532.44,378.56,63.69,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.75,200.56,283.56,278.88,165.25,115.06,66.0,43.0,32.69,19.06,3.12,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.25,406.12,524.19,599.44,473.25,565.44,789.38,755.88,607.88,434.88,73.19,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.56,451.25,452.31,362.81,400.5,385.44,336.44,281.0,228.5,165.69,27.88,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,12.38,16.88,20.31,18.62,30.56,32.0,44.25,58.56,33.75,5.56,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.12,1.94,2.0,2.19,2.75,2.06,2.0,2.0,2.0,1.81,0.31,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,1.25,11.25,30.44,92.94,196.0,331.44,396.38,383.06,316.19,254.62,161.06,26.62,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.44,14.19,23.69,45.19,80.19,83.69,69.56,58.06,49.19,26.25,4.31,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.94,1.0,0.81,0.25,0.94,1.19,2.12,2.75,2.06,1.81,0.31,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.5,7.38,5.75,3.56,1.38,1.94,2.19,2.94,2.81,1.88,0.31,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,1.38,12.38,21.12,21.62,21.75,18.56,37.38,39.94,49.31,68.38,50.19,15.19,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,15.38,138.38,247.88,304.31,359.25,404.56,397.31,305.62,266.69,228.06,203.81,63.06,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,10.62,81.56,91.75,88.81,113.62,112.0,130.44,148.19,180.88,167.5,138.12,42.69,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,111.88,878.25,1105.75,1182.75,1177.38,1051.44,982.31,909.38,837.62,717.38,529.94,161.38,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,21.25,183.94,302.38,359.12,421.75,498.88,501.75,455.75,379.38,366.44,305.19,93.94,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,22.62,191.44,301.0,368.81,448.88,510.31,521.56,540.88,503.69,436.12,324.25,98.5,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,22.25,187.88,298.75,392.19,504.12,567.81,589.0,588.69,555.06,446.56,314.12,95.06,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,50.75,421.31,624.81,723.5,843.94,959.62,1057.31,1043.75,1066.75,1028.25,944.0,402.75,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,28.75,235.88,348.69,427.06,452.0,514.12,589.81,641.12,661.19,710.94,544.5,165.94,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,75.0,601.69,791.62,806.94,879.38,872.38,895.0,918.5,804.56,694.06,528.81,245.31,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,102.25,797.06,972.31,981.81,913.0,851.31,828.19,794.62,791.81,678.69,502.81,153.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,42.25,373.69,650.19,804.69,911.0,920.19,843.19,791.12,736.75,635.06,486.25,148.5,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,36.75,228.69,463.19,787.94,837.06,624.5,562.19,522.25,490.62,389.38,299.75,91.69,0.0,0.0,0.0,0.0,0.0,0.0
